distance_m,synthterrain_height_m,estimated_q10_m,estimated_q50_m,estimated_q90_m
-6.6,-0.5292885908296263,-0.5881205064812062,-0.4814225833350336,-0.4178438194516941
-6.399999999999999,-0.5661702854302783,-0.6231693376645296,-0.5108949398301688,-0.444253071670593
-6.199999999999999,-0.6031317603926661,-0.6584452711426366,-0.5404785246535506,-0.4707293385567745
-5.999999999999998,-0.6397607773105499,-0.6937212580188852,-0.5700620560787915,-0.4972055253457443
-5.800000000000001,-0.6762053274192196,-0.7288318708516472,-0.5993390821731926,-0.5233369203365902
-5.6000000000000005,-0.7120840358922143,-0.7639425370825512,-0.6286161082675943,-0.5494682619292952
-5.4,-0.7475307300185962,-0.7986607269751852,-0.6574815414891546,-0.575196180564772
-5.2,-0.7821981375274991,-0.8329864405295495,-0.6859354352360149,-0.6005206228448791
-5.0,-0.8162092578249378,-0.8673122074820551,-0.7143893289828752,-0.6258450117268449
-4.8,-0.8492529030401272,-0.9002530402428105,-0.7415322449636321,-0.6499318452869415
-4.6,-0.8814441102523893,-0.9331939264017073,-0.7686751075462478,-0.674018625448897
-4.3999999999999995,-0.9125084805451602,-0.9651605100751522,-0.7949396241032581,-0.697292685900857
-4.199999999999999,-0.9425553381859489,-0.9961530048557108,-0.8203256344402394,-0.7197540266428218
-3.999999999999999,-0.9713465456823781,-1.0271453928399867,-0.8457116981753621,-0.7422153139866453
-3.799999999999999,-0.9989872761866017,-1.0556753789381443,-0.8689462440027887,-0.7627134720651425
-3.5999999999999988,-1.0252739978403769,-1.0842053650363017,-0.8921807898302155,-0.7832116301436397
-3.3999999999999986,-1.0503086084241742,-1.1112767275077686,-0.9141705181885617,-0.8025862379318602
-3.2000000000000006,-1.0739195501615466,-1.1368893595562621,-0.9349153756796853,-0.8208372954298041
-3.0000000000000004,-1.0962057041736308,-1.162501991604756,-0.9556602331708092,-0.8390882995296067
-2.8000000000000003,-1.117024068589539,-1.1848066088021192,-0.9736351154821502,-0.8548618434674553
-2.6,-1.1364702737943506,-1.2071111192031998,-0.9916101045897738,-0.8706353874053039
-2.4,-1.1544258818022248,-1.2275995588199875,-1.0080879166127161,-0.8850802253941503
-2.1999999999999997,-1.1709827097672707,-1.2462718208561996,-1.0230687651435424,-0.8981963574339946
-1.9999999999999996,-1.1860425411806335,-1.264944082892412,-1.0380496136743687,-0.9113124360756976
-1.7999999999999994,-1.1996926767087701,-1.2797250087823562,-1.0498641660209715,-0.9216363259108531
-1.5999999999999992,-1.2118506505134112,-1.294506041468583,-1.0616786115712917,-0.9319603225422912
-1.399999999999999,-1.2225985968894322,-1.3072433136961792,-1.0718472196116597,-0.9408403266377442
-1.1999999999999988,-1.2318654111783949,-1.3179370390577096,-1.0803697765495104,-0.9482763381972121
-0.9999999999999987,-1.2397276500164223,-1.3286307644192403,-1.088892333487361,-0.9557123497566802
-0.8000000000000007,-1.2461214499709568,-1.3351004832144457,-1.094038205564419,-0.9601975800300548
-0.6000000000000005,-1.2511177806406737,-1.3415703088059339,-1.09918418443776,-0.9646828103034296
-0.40000000000000036,-1.2546563285411567,-1.3458878689157483,-1.1026173645320068,-0.9676748149545765
-0.20000000000000018,-1.2568030000681671,-1.3480533771364547,-1.1043379594397247,-0.969173700779778
0.0,-1.2574978930891105,-1.3502187785608784,-1.1060585543474426,-0.970672479808697
0.20000000000000018,-1.2568030000681671,-1.3480533771364547,-1.1043379594397247,-0.969173700779778
0.40000000000000036,-1.2546563285411567,-1.3458878689157483,-1.1026173645320068,-0.9676748149545765
0.6000000000000005,-1.2511177806406737,-1.3415703088059339,-1.09918418443776,-0.9646828103034296
0.8000000000000007,-1.2461214499709568,-1.3351004832144457,-1.094038205564419,-0.9601975800300548
1.0000000000000009,-1.2397276500164223,-1.3286307644192403,-1.088892333487361,-0.9557123497566802
1.200000000000001,-1.2318654111783949,-1.3179370390577096,-1.0803697765495104,-0.9482763381972121
1.4000000000000012,-1.2225985968894322,-1.3072433136961792,-1.0718472196116597,-0.9408403266377442
1.6000000000000014,-1.2118506505134112,-1.294506041468583,-1.0616786115712917,-0.9319603225422911
1.8000000000000016,-1.1996926767087701,-1.279725008782356,-1.0498641660209715,-0.921636325910853
2.0000000000000018,-1.1860425411806335,-1.2649440828924117,-1.0380496136743684,-0.9113124360756975
2.200000000000002,-1.1709827097672707,-1.2462718208561994,-1.0230687651435422,-0.8981963574339945
2.400000000000002,-1.1544258818022248,-1.2275995588199873,-1.008087916612716,-0.8850802253941502
2.6000000000000023,-1.1364702737943506,-1.2071111192031996,-0.9916101045897736,-0.8706353874053037
2.8000000000000025,-1.117024068589539,-1.184806608802119,-0.97363511548215,-0.8548618434674551
3.0000000000000027,-1.0962057041736308,-1.1625019916047556,-0.955660233170809,-0.8390882995296065
3.1999999999999984,-1.0739195501615466,-1.1368893595562624,-0.9349153756796855,-0.8208372954298042
