radius_m,height_q10_m,height_q50_m,height_q90_m
1.3250000000000002,-0.21059122372793362,-0.16703177878720632,-0.1420100883729587
1.35,-0.2058293150107713,-0.16323874091698415,-0.1387143775760197
1.375,-0.20106740629360897,-0.15944568977692172,-0.1354186667790807
1.4000000000000001,-0.19612859733593388,-0.15547028449199946,-0.13194675904316275
1.4250000000000003,-0.19118978837825876,-0.15149487920707722,-0.1284748380374045
1.45,-0.1862509661507434,-0.14751947392215495,-0.12500293030148654
1.4749999999999999,-0.1813121571930683,-0.14354406863723268,-0.12153100929572833
1.5,-0.1763733482353932,-0.1395686633523104,-0.11805910155981035
1.525,-0.17135664531538894,-0.13549028410696665,-0.11448019910187195
1.55,-0.1663399423953847,-0.13141190486162288,-0.11090128337409327
1.575,-0.1613232394753804,-0.12733353888611937,-0.10732237428123474
1.6,-0.15630653655537616,-0.12325515964077559,-0.1037434651883762
1.625,-0.1512898336353719,-0.11917678039543181,-0.10016456273043779
1.6500000000000001,-0.14630053293550557,-0.11508310102426768,-0.096556605957249
1.675,-0.141311218965799,-0.11098941501818341,-0.09294864918406023
1.7000000000000002,-0.13632191826593268,-0.10689573564701928,-0.08934069904579157
1.725,-0.1313326042962261,-0.10280204964093502,-0.0857327422726028
1.7500000000000002,-0.12634329032651953,-0.09870837026977088,-0.08212478549941402
1.775,-0.12148802828312455,-0.09469116498802803,-0.07857075735704393
1.7999999999999998,-0.11663276623972958,-0.09067395970628518,-0.07501672921467382
1.825,-0.1117775041963346,-0.08665674778962221,-0.07146270107230374
1.85,-0.1069222355180195,-0.08263954250787935,-0.06790867292993365
1.875,-0.10206697347462454,-0.0786223372261365,-0.06435464478756354
1.9,-0.097448345857675,-0.07477263050308186,-0.06093808555537214
1.925,-0.09282971824072546,-0.07092292378002722,-0.05752153295810087
1.9500000000000002,-0.08821109062377593,-0.06707321705697258,-0.054104973725909465
1.975,-0.08359245637190627,-0.06322351696883807,-0.050688417811178124
2.0,-0.07897382875495673,-0.05937381024578343,-0.04727186189644678
2.0250000000000004,-0.07468495666848071,-0.05577677455112904,-0.04407210199697143
2.0500000000000003,-0.07039608458200469,-0.05217973885647465,-0.04087233878003601
2.075,-0.06610721249552869,-0.04858270316182027,-0.03767257888056065
2.1,-0.061818340409052666,-0.04498566746716588,-0.03447281566362523
2.125,-0.05752946168765652,-0.041388631772511494,-0.03127305576414987
2.15,-0.05364907177645953,-0.03811870759265872,-0.02836049833489266
2.175,-0.049768678547802474,-0.03484878341280595,-0.025447937588175387
2.2,-0.04588828531914542,-0.031578855915493115,-0.02253537850018815
2.225,-0.04200789540794843,-0.028308931735640343,-0.01962282107093094
2.25,-0.038127502179291374,-0.02503900755578757,-0.0167102619829437
2.275,-0.03471593904195805,-0.02215572505287507,-0.01414226590843067
