radius_m,height_q10_m,height_q50_m,height_q90_m
10.5,-0.026348478459375914,-0.0016094440693517145,0.01477571790247947
10.600000000000001,-0.01854665959581435,0.005105005394901214,0.02080690112519365
10.700000000000001,-0.010744840732252785,0.011819454963447388,0.02683808434790783
10.8,-0.002943022494450689,0.018533904114820584,0.032869265901930095
10.9,0.004858795743351406,0.025248353266193777,0.03890044912464428
11.0,0.012660614189739992,0.03196280241756697,0.044931632347358454
11.100000000000001,0.018739059773546066,0.037150468552313486,0.04955009098317985
11.200000000000001,0.02481750535735214,0.04233813468706,0.05416854961900124
11.3,0.030895950941158216,0.047525800821806505,0.05878700825482264
11.400000000000002,0.03697439819365621,0.05271346695655302,0.06340546689064402
11.500000000000002,0.04305284210877036,0.05790113309129953,0.06802391885169777
11.6,0.047525186743182006,0.06165568322395914,0.0713119894970673
11.7,0.05199753137759364,0.06541022668185109,0.07460006014243682
11.799999999999999,0.05646987601200529,0.0691647768145107,0.07788813078780636
11.899999999999999,0.0609422173090331,0.07291932027240265,0.08117620143317589
12.0,0.06541456528082856,0.07667387040506227,0.08446427207854541
12.1,0.06843792131566341,0.07912828926906212,0.08654264120748104
12.2,0.07146127735049826,0.08158271480782965,0.08862100366164898
12.3,0.07448463338533311,0.08403713367182952,0.09069936611581693
12.4,0.07750798942016797,0.08649155921059705,0.09277773524475254
12.5,0.08053134545500282,0.08894597807459691,0.09485609769892049
12.6,0.08229092100584147,0.09026200196504952,0.09587390631996467
12.7,0.08405048988191248,0.09157802585550212,0.09689171494100886
12.8,0.08581006543275113,0.09289404307118707,0.09790952356205306
12.9,0.08756963430882214,0.09421006696163967,0.0989273388578649
13.0,0.0893292098596608,0.09552609085209228,0.09994514747890908
13.100000000000001,0.09002612902556353,0.0958829039067672,0.10006934488071494
13.200000000000001,0.09072305486623393,0.09623971028667444,0.10019354228252081
13.3,0.09141998070690432,0.0965965166665817,0.10031773300955901
13.4,0.09211689987280705,0.09695332972125661,0.10044193041136489
13.5,0.09281382571347745,0.09731013610116387,0.10056612781317074
13.600000000000001,0.09265347777003775,0.09689328351140841,0.09997081196055274
13.700000000000001,0.09249312982659806,0.09647643092165295,0.09937548943316707
13.8,0.09233278188315838,0.09605957833189749,0.09878017358054905
13.900000000000002,0.09217243393971869,0.09564272574214203,0.09818485772793105
14.000000000000002,0.092012085996279,0.09522587315238656,0.09758953520054538
14.1,0.09119361931133049,0.09421714221535678,0.09644614082602254
14.2,0.09037514595161432,0.09320841795309465,0.09530274645149969
14.299999999999999,0.0895566792666658,0.09219969369083253,0.09415935207697686
14.399999999999999,0.08873820590694963,0.09119096275380274,0.09301595102768635
14.5,0.08791973922200112,0.09018223849154061,0.09187255665316352
14.6,0.08662735735859191,0.08875107485899357,0.09034144504971085
14.7,0.0853349754951827,0.08731991122644654,0.08881034012102584
14.8,0.08404259363177348,0.08588875426866716,0.08727922851757317
14.9,0.08275021844313192,0.08445759063612011,0.0857481169141205
15.0,0.0814578365797227,0.08302642700357307,0.08421701198543549
