distance_m,synthterrain_height_m,estimated_q10_m,estimated_q50_m,estimated_q90_m
-10.600000000000001,0.04315789786571428,-0.0491113918788809,-0.02185649165243973,0.016515938295802862
-10.4,0.027521953572645398,-0.06581097973201631,-0.0361266860142157,0.005398960493852138
-10.2,0.010086361218777545,-0.08399747887717543,-0.051692584605002485,-0.006795061571893551
-10.0,-0.00875410208690017,-0.10218398469710221,-0.06725848319578927,-0.018989083220466264
-9.8,-0.029396550621104474,-0.12333161769299159,-0.08538137847993867,-0.03329191886478006
-9.6,-0.0514182867629123,-0.1444792440141133,-0.1035042670893204,-0.047594754509093846
-9.399999999999999,-0.07519724094183793,-0.16705373541741075,-0.1228457213065856,-0.0628926978896483
-9.2,-0.10028695342555698,-0.19105506520381288,-0.14340572778219857,-0.07918575234382697
-9.0,-0.1270415795728151,-0.2150564083397501,-0.16396573425781136,-0.0954788067980055
-8.799999999999999,-0.15499606732115612,-0.24170732719646196,-0.18675768959139497,-0.11357195931747256
-8.599999999999998,-0.18447744282708603,-0.26835825940270885,-0.2095496449249784,-0.13166511851170715
-8.4,-0.21500807281322556,-0.2961850453785976,-0.23331471463537018,-0.15053038812950767
-8.200000000000001,-0.2468858529716708,-0.3251876317259872,-0.25805287202350013,-0.17016779486994518
-8.0,-0.2796271949295749,-0.35419021807337686,-0.28279102941163003,-0.18980520161038267
-7.800000000000001,-0.313500233791235,-0.3851603657318175,-0.30911807519205725,-0.2106747304118161
-7.6,-0.3480223977884135,-0.41613051339025814,-0.33544509427341385,-0.23154424586371425
-7.4,-0.38343272375485404,-0.44785525688193123,-0.3623584516448889,-0.2528518129674485
-7.199999999999999,-0.4192566781527244,-0.4803345428086956,-0.38985809390834114,-0.27459740502394836
-7.0,-0.45570598810376745,-0.5128138554345306,-0.4173577361717935,-0.29634297038137764
-6.799999999999999,-0.49232092705140784,-0.5462850385342923,-0.4455702703201534,-0.31857902436536156
-6.6,-0.5292885908296263,-0.5797562216340537,-0.473782804468513,-0.34081505165027465
-6.399999999999999,-0.5661702854302783,-0.613444040992912,-0.5021086494726291,-0.3630963872580481
-6.199999999999999,-0.6031317603926661,-0.6473486034071492,-0.5305479121287837,-0.3854230311886814
-5.999999999999998,-0.6397607773105499,-0.6812531658213867,-0.5589871747849385,-0.4077496751193149
-5.800000000000001,-0.6762053274192196,-0.7150104561620252,-0.5871580049849731,-0.4297679447841647
-5.6000000000000005,-0.7120840358922143,-0.7487677465026643,-0.6153288885831492,-0.45178624114808547
-5.4,-0.7475307300185962,-0.782159419770088,-0.643121926933761,-0.4734582505659274
-5.2,-0.7821981375274991,-0.8151855293624374,-0.6705371734349499,-0.4947839196395492
-5.0,-0.8162092578249378,-0.8482116389547869,-0.6979524199361389,-0.5161096421113123
-4.8,-0.8492529030401272,-0.8799370766222965,-0.7241475189095097,-0.5363850765426091
-4.6,-0.8814441102523893,-0.911662514289806,-0.7503425644847393,-0.556660510973906
-4.3999999999999995,-0.9125084805451602,-0.9424679019833853,-0.7757128223700486,-0.576249672493714
-4.199999999999999,-0.9425553381859489,-0.9723531329067517,-0.800258185769155,-0.5951526145001745
-3.999999999999999,-0.9713465456823781,-1.002238470626401,-0.8248036025664027,-0.614055556506635
-3.799999999999999,-0.9989872761866017,-1.0297866784993301,-0.8473138026076215,-0.6313050250689428
-3.5999999999999988,-1.0252739978403769,-1.0573348863722594,-0.8698240026488402,-0.6485545470293919
-3.3999999999999986,-1.0503086084241742,-1.0834921794616172,-0.8911487639540607,-0.6648589752876591
-3.2000000000000006,-1.0739195501615466,-1.108258450971121,-0.9112880865232825,-0.6802182564456033
-3.0000000000000004,-1.0962057041736308,-1.1330248292769076,-0.931427515888787,-0.6955775376035476
